Batch Size Profiling Results
================================================================================

 Batch | Total (ms) |  Per Sample (ms) |   Throughput |  Speedup
--------------------------------------------------------------------------------
     1 |      2.939 |         2.938682 |     340.3 pos/s |     1.00x
     4 |      2.958 |         0.739603 |    1352.1 pos/s |     3.97x
     8 |      2.946 |         0.368250 |    2715.5 pos/s |     7.98x
    16 |      2.929 |         0.183050 |    5463.0 pos/s |    16.05x
    32 |      2.926 |         0.091445 |   10935.6 pos/s |    32.14x
    64 |      4.382 |         0.068470 |   14604.9 pos/s |    42.92x
   128 |      7.685 |         0.060038 |   16656.0 pos/s |    48.95x
   256 |     14.445 |         0.056425 |   17722.7 pos/s |    52.08x
   512 |     28.043 |         0.054771 |   18257.8 pos/s |    53.65x
  1024 |     55.608 |         0.054305 |   18414.6 pos/s |    54.11x
  2048 |    109.747 |         0.053587 |   18661.2 pos/s |    54.84x
  4096 |    217.123 |         0.053009 |   18864.9 pos/s |    55.44x
